epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,14726.7,1.0681,0.76841,1.28544,0.85283,0.83416,0.89341,0.57183,1.21761,0.61788,1.42274,0.00538,0.00538,0.00538
142,14828.8,1.08069,0.77891,1.28948,0.85319,0.84448,0.89657,0.57198,1.2154,0.61833,1.41892,0.005347,0.005347,0.005347
143,14934,1.08243,0.78051,1.29008,0.84789,0.84879,0.89395,0.57279,1.21314,0.61666,1.41727,0.005314,0.005314,0.005314
144,15036.2,1.09002,0.78268,1.29324,0.8529,0.83904,0.89323,0.57121,1.2125,0.61563,1.41702,0.005281,0.005281,0.005281
145,15138.6,1.07944,0.77771,1.28851,0.86238,0.82596,0.89198,0.57047,1.20911,0.61753,1.41563,0.005248,0.005248,0.005248
146,15241.7,1.07086,0.76748,1.28306,0.84704,0.84453,0.89352,0.57442,1.20922,0.61501,1.41772,0.005215,0.005215,0.005215
147,15344.7,1.07374,0.7719,1.29024,0.8506,0.84481,0.89531,0.57264,1.20923,0.61451,1.41786,0.005182,0.005182,0.005182
148,15447.4,1.05633,0.74637,1.27693,0.84741,0.85479,0.89429,0.5744,1.20905,0.61431,1.41638,0.005149,0.005149,0.005149
149,15549.4,1.07765,0.77656,1.28673,0.83994,0.85762,0.89774,0.57509,1.20934,0.61333,1.41747,0.005116,0.005116,0.005116
150,15654.4,1.06433,0.75927,1.27639,0.84139,0.85905,0.89921,0.57721,1.20751,0.61399,1.41393,0.005083,0.005083,0.005083
151,15756.7,1.05365,0.75248,1.26979,0.83859,0.85993,0.89858,0.57673,1.20711,0.61355,1.41295,0.00505,0.00505,0.00505
152,15860,1.0627,0.76999,1.27301,0.84196,0.85575,0.89734,0.57517,1.20643,0.61487,1.41146,0.005017,0.005017,0.005017
153,15964.1,1.06171,0.7695,1.27617,0.83364,0.85526,0.89703,0.57468,1.20629,0.61451,1.41073,0.004984,0.004984,0.004984
154,16067.3,1.05151,0.74891,1.26538,0.8347,0.84806,0.89364,0.57403,1.20372,0.61305,1.40756,0.004951,0.004951,0.004951
155,16170,1.05184,0.74394,1.26187,0.83263,0.85224,0.89412,0.57446,1.20181,0.61118,1.40615,0.004918,0.004918,0.004918
156,16273.1,1.03714,0.75648,1.26512,0.84992,0.84331,0.89586,0.57354,1.20145,0.61226,1.4057,0.004885,0.004885,0.004885
157,16377.8,1.05325,0.74132,1.27314,0.8489,0.84368,0.89809,0.57417,1.2007,0.61242,1.40447,0.004852,0.004852,0.004852
158,16480.5,1.04644,0.7326,1.25912,0.84468,0.84627,0.89803,0.57586,1.19933,0.61066,1.40371,0.004819,0.004819,0.004819
159,16583.4,1.04069,0.74068,1.25847,0.83654,0.86144,0.89926,0.57407,1.19867,0.60903,1.40339,0.004786,0.004786,0.004786
160,16687.7,1.04005,0.73907,1.26106,0.84275,0.84186,0.89503,0.57108,1.19763,0.60802,1.40311,0.004753,0.004753,0.004753
161,16790.7,1.04165,0.73323,1.26099,0.8556,0.83519,0.89855,0.57512,1.19744,0.60668,1.40324,0.00472,0.00472,0.00472
162,16893.4,1.02914,0.72823,1.24878,0.84734,0.83972,0.89758,0.57479,1.19727,0.606,1.40284,0.004687,0.004687,0.004687
163,16996,1.04328,0.74151,1.25866,0.85652,0.82647,0.89741,0.57378,1.19591,0.60509,1.40119,0.004654,0.004654,0.004654
164,17100.2,1.01911,0.73024,1.24627,0.86146,0.82593,0.89423,0.57509,1.19551,0.60362,1.40047,0.004621,0.004621,0.004621
165,17202.9,1.03512,0.74122,1.25268,0.86446,0.82575,0.89671,0.57634,1.19372,0.60157,1.39935,0.004588,0.004588,0.004588
166,17306.2,1.0312,0.74084,1.25202,0.86475,0.82716,0.89704,0.57647,1.19295,0.59931,1.39988,0.004555,0.004555,0.004555
167,17409.7,1.02249,0.72727,1.25026,0.85851,0.82769,0.89748,0.57651,1.19228,0.59883,1.39986,0.004522,0.004522,0.004522
168,17512.7,1.02064,0.71755,1.2387,0.8557,0.83596,0.89674,0.57548,1.19218,0.59766,1.3996,0.004489,0.004489,0.004489
169,17615.3,1.02855,0.72927,1.24168,0.85518,0.83695,0.89736,0.57625,1.19166,0.5963,1.39981,0.004456,0.004456,0.004456
170,17717.8,1.02614,0.71578,1.24262,0.85917,0.83196,0.8965,0.57741,1.19025,0.59607,1.39963,0.004423,0.004423,0.004423
171,17822.2,1.00897,0.71353,1.23658,0.8538,0.83553,0.89667,0.57879,1.18945,0.59547,1.39983,0.00439,0.00439,0.00439
172,17925.1,1.01236,0.72345,1.24397,0.8546,0.83712,0.89661,0.57881,1.18886,0.59546,1.39986,0.004357,0.004357,0.004357
173,18028.9,1.00205,0.70648,1.2267,0.85811,0.83262,0.89688,0.57858,1.18766,0.59503,1.39899,0.004324,0.004324,0.004324
174,18132.2,1.01318,0.72221,1.23792,0.85998,0.83179,0.89574,0.57771,1.18631,0.59481,1.3983,0.004291,0.004291,0.004291
175,18235,1.00358,0.72161,1.24429,0.838,0.85121,0.89533,0.57988,1.18461,0.59356,1.39698,0.004258,0.004258,0.004258
176,18337.7,1.00727,0.70678,1.22897,0.83446,0.85882,0.89628,0.58057,1.18385,0.59288,1.39655,0.004225,0.004225,0.004225
177,18439.7,0.98955,0.71193,1.22639,0.83428,0.86177,0.89778,0.58205,1.18274,0.59117,1.39607,0.004192,0.004192,0.004192
178,18543.7,1.00465,0.72376,1.2346,0.83575,0.85644,0.89871,0.58557,1.18212,0.58958,1.39543,0.004159,0.004159,0.004159
179,18646,0.99531,0.69771,1.22081,0.82841,0.85949,0.89873,0.58554,1.18067,0.58943,1.39427,0.004126,0.004126,0.004126
180,18748.2,0.99279,0.71144,1.22639,0.82415,0.86633,0.89938,0.58564,1.17936,0.58933,1.39369,0.004093,0.004093,0.004093
181,18852.9,0.99993,0.69691,1.22823,0.82509,0.87072,0.89888,0.58547,1.1784,0.58819,1.39368,0.00406,0.00406,0.00406
182,18955.7,0.98914,0.70147,1.21827,0.83282,0.8636,0.89971,0.58523,1.17777,0.58833,1.39368,0.004027,0.004027,0.004027
183,19058.5,0.99151,0.69484,1.2228,0.84485,0.84531,0.89877,0.58564,1.17629,0.58773,1.39272,0.003994,0.003994,0.003994
